Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
30-August-2004,10-September-2004,244.05,263.6,243.0,270.0,2178798,2628701,1422517,2871327
13-September-2004,24-September-2004,268.4,289.35,262.8,293.7,2569811,3480265,2169983,5106119
27-September-2004,8-October-2004,290.0,301.85,277.7,303.6,2249310,3406714,2249310,7609912
9-October-2004,25-October-2004,301.55,279.55,277.9,305.2,881368,2048456,881368,3564742
26-October-2004,8-November-2004,280.05,302.05,279.5,304.8,2912356,2065684,1643051,4322149
9-November-2004,23-November-2004,304.0,311.6,299.7,316.2,1615943,1315634,754251,3030679
24-November-2004,8-December-2004,312.1,318.2,308.05,333.0,1152789,2041454,1152789,2422576
9-December-2004,22-December-2004,320.0,339.8,314.15,346.0,1374413,1335888,786351,1875057
23-December-2004,5-January-2005,340.0,368.7,336.7,396.65,1042205,3600950,1042205,4833109
6-January-2005,19-January-2005,368.4,348.4,336.1,369.0,3827858,3015936,1816278,3827858
20-January-2005,4-February-2005,350.55,397.05,338.5,402.45,5025271,3119537,1287088,5025271
7-February-2005,18-February-2005,400.0,413.85,392.1,419.4,2698548,2831067,1349474,4311043
21-February-2005,4-March-2005,415.0,428.8,405.0,433.25,1725508,1207575,1207575,3169057
7-March-2005,18-March-2005,431.0,434.0,421.4,446.5,1613704,2684009,1415277,2876793
21-March-2005,4-April-2005,435.0,393.6,391.35,437.0,1179893,1996532,1179893,3530116
5-April-2005,19-April-2005,398.0,346.95,345.35,398.0,2970452,3378836,1505986,3378836
20-April-2005,3-May-2005,349.0,343.45,339.15,372.7,4076786,2206407,1161978,4076786
4-May-2005,17-May-2005,345.0,353.8,345.0,367.4,2322685,1746542,924018,2709068
18-May-2005,31-May-2005,354.2,362.85,349.3,367.5,2696047,837603,837603,3577754
1-June-2005,13-June-2005,363.5,330.8,330.0,365.6,1119200,930364,811322,2062764
14-June-2005,27-June-2005,332.0,360.0,331.05,379.0,1196843,1809917,1152834,5555407
28-June-2005,11-July-2005,360.9,361.45,335.0,368.25,1639197,989833,989833,3542701
12-July-2005,25-July-2005,370.0,385.35,348.0,387.45,1147929,1405262,884118,2185036
26-July-2005,9-August-2005,385.55,388.15,360.1,399.0,2313957,2147960,1518490,3939770
10-August-2005,24-August-2005,394.0,375.8,372.05,420.0,1333861,1608681,927331,2171262
25-August-2005,8-September-2005,377.0,407.75,376.15,411.35,1243287,984342,521488,2005483
9-September-2005,22-September-2005,407.1,401.9,399.0,436.5,580184,2148378,431839,2148378
23-September-2005,6-October-2005,402.0,403.9,392.2,437.15,1731562,2863153,659838,2863153
7-October-2005,21-October-2005,400.0,367.25,351.5,406.75,3481220,1999805,1694231,3481220
24-October-2005,8-November-2005,360.0,362.25,329.05,372.5,1993131,2419374,428303,3436233
9-November-2005,23-November-2005,361.75,342.55,339.5,375.1,2458343,2827323,1020982,2827323
24-November-2005,6-December-2005,345.0,351.0,337.65,361.5,2102160,797603,290180,3592207
7-December-2005,20-December-2005,352.0,374.05,345.0,384.4,703402,1587052,703402,2937083
21-December-2005,3-January-2006,371.5,386.15,365.0,387.35,1660422,841375,705795,1899344
4-January-2006,18-January-2006,388.15,351.1,341.35,389.15,792204,995084,600513,1122074
19-January-2006,2-February-2006,350.0,400.2,349.05,407.8,1147272,1872311,698697,3477450
3-February-2006,17-February-2006,399.95,386.3,379.5,414.25,1332024,1059498,715543,1807528
20-February-2006,3-March-2006,385.0,454.35,385.0,458.95,887860,1669388,711655,2582138
6-March-2006,20-March-2006,461.55,467.1,433.65,477.0,1973994,702776,702776,2041801
21-March-2006,3-April-2006,468.55,542.75,461.1,546.4,1456568,1016642,1016642,3431928
4-April-2006,20-April-2006,543.1,644.05,532.05,646.95,1361144,3404195,690142,3404195
21-April-2006,4-May-2006,645.0,655.35,603.0,679.0,4148363,1275979,332674,4148363
5-May-2006,18-May-2006,660.0,545.45,525.55,674.85,1767208,4415654,976595,4546001
19-May-2006,1-June-2006,555.25,489.05,416.0,570.0,3529438,2795009,1737601,3804313
2-June-2006,15-June-2006,485.0,413.7,376.85,530.0,2756202,2695663,2116275,2756202
16-June-2006,28-June-2006,421.0,514.85,420.0,545.0,3958447,2883276,911983,5754439
29-June-2006,12-July-2006,520.5,520.0,501.2,566.4,1954174,2304541,1863155,3275264
13-July-2006,26-July-2006,521.0,496.5,455.5,528.8,2135538,1870058,1486699,3237786
27-July-2006,9-August-2006,497.1,517.5,485.0,523.7,1756912,2067770,893272,2407118
10-August-2006,24-August-2006,515.0,517.35,500.55,543.0,1189774,1417579,768753,1661760
25-August-2006,7-September-2006,517.35,521.9,492.85,541.0,1718786,1213128,645608,1730389
8-September-2006,21-September-2006,525.0,502.75,484.0,529.9,1254885,854676,742658,1669543
22-September-2006,6-October-2006,513.0,536.9,491.65,547.0,1222886,1264517,852187,2243750
9-October-2006,20-October-2006,525.0,507.85,498.1,544.4,1673148,3489818,772135,3489818
21-October-2006,6-November-2006,506.0,506.05,484.5,519.0,877180,1321546,745086,1382739
7-November-2006,20-November-2006,511.0,463.4,459.0,512.95,1422075,1074132,601159,1422075
21-November-2006,4-December-2006,465.0,468.1,462.0,489.85,1709352,397920,397920,1709352
5-December-2006,18-December-2006,474.0,467.4,424.15,501.9,1677229,1161556,850028,4442588
19-December-2006,3-January-2007,470.0,471.6,450.1,487.9,1304992,609705,422270,1577858
4-January-2007,17-January-2007,472.5,483.8,451.5,493.4,812580,476078,423740,1134650
18-January-2007,2-February-2007,487.9,462.95,451.1,520.85,711669,3565172,436398,5880044
5-February-2007,19-February-2007,465.0,443.85,427.55,475.5,1310441,741303,741303,2333596
20-February-2007,5-March-2007,446.0,420.25,415.5,479.55,757573,1985404,757573,2518637
6-March-2007,19-March-2007,420.0,429.75,399.0,448.75,1655975,823989,630804,2222094
20-March-2007,3-April-2007,431.0,429.8,421.05,450.9,777648,554235,554235,1105098
4-April-2007,18-April-2007,432.5,511.35,432.5,540.95,474715,4755486,474715,4755486
19-April-2007,4-May-2007,500.0,552.9,495.0,585.0,1347594,1178347,1162962,4601728
7-May-2007,18-May-2007,557.5,591.05,550.0,608.2,679935,752453,679935,2268664
21-May-2007,1-June-2007,596.0,634.65,593.6,662.0,2229653,561789,561789,2590373
4-June-2007,15-June-2007,637.45,600.1,573.7,646.7,541793,603980,541793,1403179
18-June-2007,29-June-2007,602.95,597.2,582.2,616.5,652065,260923,260923,652065
2-July-2007,13-July-2007,602.0,694.75,591.5,699.0,378487,1078889,378487,1328419
16-July-2007,27-July-2007,700.0,651.6,615.0,731.0,1004509,1157064,450100,1816383
30-July-2007,10-August-2007,652.0,635.9,620.0,674.8,1335511,578771,435356,1335511
13-August-2007,27-August-2007,640.0,603.0,533.0,650.75,375710,627521,284476,3830779
28-August-2007,10-September-2007,601.6,693.0,591.0,704.85,618775,853356,618775,3438633
11-September-2007,24-September-2007,696.3,748.9,695.1,756.5,1546229,582142,508880,1546229
